mid,spread,imbalance,mom1,mom3,vol3
122330.45,0.1,0.0,0.0,2.7,6.057282
122330.45,0.1,0.0,0.0,10.9,5.563572
122330.45,0.1,0.0,2.7,15.6,4.8850794
122327.75,0.1,0.0,8.2,12.9,4.423234
122319.55,0.1,-0.33333334,4.7,-3.1,4.423234
122314.85,0.1,-0.5,0.0,-7.8,9.837733
122314.85,0.1,0.0,-7.8,-7.8,11.918893
122322.65,0.1,0.0,0.0,0.0,12.647569
122322.65,0.1,0.33333334,0.0,0.0,12.429106
122322.65,0.1,0.0,0.0,-5.1,11.931196
122322.65,0.1,-0.33333334,0.0,-5.1,11.116354
122322.65,0.1,0.0,-5.1,-27.3,9.906681
122327.75,0.1,-0.33333334,0.0,-22.2,8.127758
122327.75,0.1,0.33333334,-22.2,-22.2,8.127758
122349.95,0.1,0.0,0.0,10.0,8.127758
122349.95,0.1,0.0,0.0,10.0,8.292995
122349.95,0.1,0.33333334,10.0,10.0,9.002247
122339.95,0.1,0.5,0.0,0.0,10.277835
122339.95,0.1,0.6666667,0.0,0.0,11.58641
122339.95,0.1,0.5,0.0,12.2,14.095409
122339.95,0.1,0.33333334,0.0,12.2,15.019261
122339.95,0.1,0.0,12.2,12.2,19.888044
122327.75,0.1,0.0,0.0,7.8,21.475992
122327.75,0.1,0.5,0.0,16.7,22.659481
122327.75,0.1,0.5,7.8,16.7,22.254179
122319.95,0.1,0.5,8.9,21.1,19.477165
122311.05,0.1,-0.2,0.0,12.2,16.634373
122311.05,0.1,0.33333334,12.2,39.6,15.240155
122298.85,0.1,0.0,0.0,27.4,13.606375
122298.85,0.1,0.0,27.4,27.4,19.588432
122271.45,0.1,0.0,0.0,0.0,21.057793
122271.45,0.1,-0.33333334,0.0,-8.5,21.139694
122271.45,0.1,-0.5,0.0,-22.2,20.22055
122271.45,0.1,-0.33333334,-8.5,-28.6,18.148903
122279.95,0.1,0.0,-13.7,-20.1,14.4584465
122293.65,0.1,-0.33333334,-6.4,-37.5,10.706431
122300.05,0.1,-0.5,0.0,-14.6,8.729421
122300.05,0.1,0.0,-31.1,-14.6,13.216051
122331.15,0.1,0.0,16.5,16.5,15.853738
122314.65,0.1,-0.5,0.0,0.0,23.277945
122314.65,0.1,-0.5,0.0,-0.4,23.600069
122314.65,0.1,0.0,0.0,-0.4,23.007206
122314.65,0.1,0.0,-0.4,-0.4,21.962719
122315.05,0.1,-0.5,0.0,-34.7,20.37001
122315.05,0.1,-0.33333334,0.0,-39.9,18.427202
122315.05,0.1,0.0,-34.7,-62.6,15.937671
122349.75,0.1,0.0,-5.2,-0.2,12.580938
122354.95,0.1,0.33333334,-22.7,10.8,12.949651
122377.65,0.1,0.0,27.7,33.5,12.789127
122349.95,0.1,-0.8947368,5.8,10.4,4.8078637
122344.15,0.1,0.0,0.0,7.7,3.231185
122344.15,0.1,-0.33333334,4.6,7.7,2.521816
122339.55,0.1,0.0,3.1,3.1,0.9803061
122336.45,0.1,0.0,0.0,0.0,0.0
122336.45,0.1,-0.6,0.0,0.0,7.621089
122336.45,0.1,-0.33333334,0.0,0.0,10.161452
122336.45,0.1,0.0,0.0,0.0,11.641406
122336.45,0.1,0.0,0.0,0.0,12.445187
122336.45,0.1,0.0,0.0,0.0,12.701816
122336.45,0.1,0.0,0.0,0.0,12.672806
122336.45,0.1,0.33333334,0.0,24.1,12.010759
122336.45,0.1,0.0,0.0,24.1,11.360673
122336.45,0.1,0.0,24.1,24.1,9.690368
122312.35,0.1,-0.2,0.0,0.0,5.910076
122312.35,0.1,0.0,0.0,0.0,6.5981817
122312.35,0.1,-0.33333334,0.0,2.4,6.861203
122312.35,0.1,0.33333334,0.0,2.4,7.6068754
122312.35,0.1,0.0,2.4,10.0,7.659337
122309.95,0.1,0.0,0.0,10.0,7.0341153
122309.95,0.1,-0.6,7.6,12.7,6.163594
122302.35,0.1,0.0,2.4,5.1,4.3181915
122299.95,0.1,0.0,2.7,2.7,5.4460588
122297.25,0.1,0.33333334,0.0,6.1,5.993339
122297.25,0.1,0.0,0.0,6.1,6.3045044
122297.25,0.1,0.0,6.1,6.1,6.1316032
122291.15,0.1,0.0,0.0,0.0,7.659968
122291.15,0.1,0.33333334,0.0,0.0,8.8152895
122291.15,0.1,0.0,0.0,10.3,16.818512
122291.15,0.1,0.0,0.0,10.3,19.518867
122291.15,0.1,0.0,10.3,10.3,19.815765
122280.85,0.1,0.33333334,0.0,0.0,18.9298
122280.85,0.1,0.0,0.0,12.3,19.202282
122280.85,0.1,0.0,0.0,12.3,18.401098
122280.85,0.1,-0.5,12.3,45.6,16.369352
122268.55,0.1,-0.33333334,0.0,28.3,14.309472
122268.55,0.1,0.0,33.3,22.9,12.610088
122235.25,0.1,0.0,-5.0,-10.4,8.404503
122240.25,0.1,0.0,-5.4,2.1,10.357826
122245.65,0.1,0.0,0.0,7.5,12.690697
122245.65,0.1,0.0,7.5,7.5,13.14783
122238.15,0.1,0.0,0.0,15.1,12.399982
122238.15,0.1,0.0,0.0,13.4,11.87902
122238.15,0.1,0.0,15.1,13.4,10.047161
122223.05,0.1,-0.33333334,-1.7,6.8,9.594674
122224.75,0.1,0.0,0.0,16.4,11.121651
122224.75,0.1,0.0,8.5,16.4,11.200401
122216.25,0.1,0.0,7.9,7.9,11.198631
122208.35,0.1,0.33333334,0.0,0.0,12.4525585
122208.35,0.1,0.0,0.0,-12.9,13.186816
122208.35,0.1,0.0,0.0,-27.7,13.839573
